url,pick,team,year,pos,player,college,missing_combine_vals,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,defense.ast.tackles,defense.fum.forced,defense.fum.rec,defense.fum.tds,defense.fum.yds,defense.games,defense.int,defense.int.td,defense.int.yards,defense.loss.tackles,defense.pd,defense.sacks,defense.seasons,defense.solo.tackes,defense.tackles,passing.attempts,passing.comp.pct,passing.completions,passing.games,passing.pass.ints,passing.pass.tds,passing.pass.yards,passing.seasons,receiving.games,receiving.rec.td,receiving.rec.yards,receiving.receptions,receiving.rush.att,receiving.rush.td,receiving.rush.yds,receiving.scrim.plays,receiving.scrim.tds,receiving.scrim.yds,receiving.seasons,rushing.games,rushing.rec.td,rushing.rec.yards,rushing.receptions,rushing.rush.att,rushing.rush.td,rushing.rush.yds,rushing.scrim.plays,rushing.scrim.tds,rushing.scrim.yds,rushing.seasons,num_murders,purple.drank.incidents
https://www.sports-reference.com/cfb/players/roger-lewis-1.html,300,NA,2016,WR,Roger Lewis,Bowling Green State,2,72,201,4.57,33.5,8,116,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,"2,638",158,1,0,-3,159,23,"2,635",2,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/rohan-davey-1.html,117,NWE,2002,QB,Rohan Davey,LSU,5,74,245,4.74,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,183,286,25,15,29,"4,415",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/rolando-mcclain-1.html,8,OAK,2010,ILB,Rolando McClain,Alabama,4,75,254,4.68,NA,24,NA,NA,NA,135,0,0,1,4,41,5,0,73,32,0,8,3,139,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
https://www.sports-reference.com/cfb/players/roman-harper-1.html,43,NOR,2006,FS,Roman Harper,Alabama,4,72,198,4.5,NA,19,NA,NA,NA,34,0,0,1,0,37,5,0,76,7,0,1,3,35,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/romaro-miller-1.html,300,NA,2001,QB,Romaro Miller,Mississippi,1,72,205,4.61,35,NA,110,7.4,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,212,515,36,33,45,"6,513",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/romeo-okwara-1.html,300,NA,2016,DE,Romeo Okwara,Notre Dame,0,77,265,4.9,33,23,120,7.38,4.53,53,3,1,0,0,32,0,0,0,21,1,13,4,61,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-brace-1.html,40,NWE,2009,DT,Ron Brace,Boston College,0,75,330,5.48,28,32,99,8.15,4.73,35,1,0,0,0,47,0,0,0,22,0,5,4,50,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-brooks-1.html,124,BUF,2012,CB,Ron Brooks,LSU,2,70,190,4.37,38,12,120,NA,NA,40,3,3,0,0,53,3,3,106,13,9,6,4,50,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-dayne-1.html,11,NYG,2000,RB,Ron Dayne,Wisconsin,5,71,259,4.65,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,304,31,"1,220",71,"7,125","1,251",71,"7,429",4,0,0
https://www.sports-reference.com/cfb/players/ron-dugans-1.html,66,CIN,2000,WR,Ron Dugans,Florida State,4,73,206,4.58,NA,NA,117,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,"1,520",105,0,0,0,105,7,"1,520",5,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-israel-1.html,300,NA,2002,SS,Ron Israel,Notre Dame,3,72,213,4.6,NA,20,121,NA,NA,0,0,0,0,0,11,3,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-johnson-1.html,123,BAL,2002,WR,Ron Johnson,Minnesota,1,74,225,4.7,34.5,NA,118,7.12,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,31,"2,931",196,1,0,-27,197,31,"2,904",4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ron-thompson-1.html,300,NA,2016,DE,Ron Thompson,Syracuse,2,75,253,4.92,NA,18,NA,7.46,4.5,29,6,1,0,0,33,0,0,0,20,10,12,3,58,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
